"","faa","name","tz","dst","tzone"
"35","369","Atmautluak Airport",-9,"A","America/Anchorage"
"36","36U","Heber City Municipal Airport",-7,"A","America/Denver"
"37","38W","Lynden Airport",-8,"A","America/Los_Angeles"
"38","3D2","Ephraim-Gibraltar Airport",-6,"A","America/Chicago"
"39","3G3","Wadsworth Municipal",-5,"A","America/New_York"
"40","3G4","Ashland County Airport",-5,"A","America/New_York"
"41","3J1","Ridgeland Airport",-5,"A","America/New_York"
"42","3W2","Put-in-Bay Airport",-5,"A","America/New_York"
"43","40J","Perry-Foley Airport",-5,"A","America/New_York"
"44","41N","Braceville Airport",-5,"A","America/New_York"
"45","47A","Cherokee County Airport",-5,"A","America/New_York"
"46","49A","Gilmer County Airport",-5,"A","America/New_York"
"47","49X","Chemehuevi Valley",-8,"A","America/Los_Angeles"
"48","4A4","Polk County Airport - Cornelius Moore Field",-5,"A","America/New_York"
"49","4A7","Clayton County Tara Field",-5,"A","America/New_York"
"50","4A9","Isbell Field Airport",-6,"A","America/Chicago"
"51","4B8","Robertson Field",-5,"A","America/New_York"
"52","4G0","Pittsburgh-Monroeville Airport",-5,"A","America/New_York"
"53","4G2","Hamburg Inc Airport",-5,"A","America/New_York"
"54","4G4","Youngstown Elser Metro Airport",-5,"A","America/New_York"
"55","4I7","Putnam County Airport",-5,"U","America/New_York"
"56","4U9","Dell Flight Strip",-7,"A","America/Denver"
"57","52A","Madison GA Municipal Airport",-5,"A","America/New_York"
"58","54J","DeFuniak Springs Airport",-6,"A","America/Chicago"
"59","55J","Fernandina Beach Municipal Airport",-5,"A","America/New_York"
"60","55S","Packwood",-8,"A","America/Los_Angeles"
"61","57C","East Troy Municipal Airport",-6,"A","America/Chicago"
"62","5B2","Saratoga County Airport",-5,"A","America/New_York"
"63","60J","Ocean Isle Beach Airport",-5,"U","America/New_York"
"64","6A2","Griffin-Spalding County Airport",-5,"A","America/New_York"
"65","6J4","Saluda County",-5,"A","America/New_York"
"66","6K8","Tok Junction Airport",-9,"A","America/Anchorage"
"67","6S0","Big Timber Airport",-7,"A","America/Denver"
"68","6S2","Florence",-8,"A","America/Los_Angeles"
"69","6Y8","Welke Airport",-5,"A","America/New_York"
"70","70J","Cairo-Grady County Airport",-5,"A","America/New_York"
"71","70N","Spring Hill Airport",-5,"A","America/New_York"
"72","7A4","Foster Field",-6,"A","America/Chicago"
"73","7D9","Germack Airport",-5,"A","America/New_York"
"74","7N7","Spitfire Aerodrome",-5,"A","America/New_York"
"75","8M8","Garland Airport",-5,"A","America/New_York"
"76","93C","Richland Airport",-6,"A","America/Chicago"
"77","99N","Bamberg County Airport",-5,"A","America/New_York"
"78","9A1","Covington Municipal Airport",-5,"A","America/New_York"
"79","9A5","Barwick Lafayette Airport",-5,"A","America/New_York"
"80","9G1","Rock Airport",-5,"A","America/New_York"
"81","A39","Phoenix Regional Airport",-7,"A","America/Phoenix"
"82","A50","Colorado Springs East",-7,"A","America/Denver"
"83","AAF","Apalachicola Regional Airport",-5,"A","America/New_York"
"84","AAP","Andrau Airport",-6,"A","America/Chicago"
"85","ABE","Lehigh Valley Intl",-5,"A","America/New_York"
"86","ABI","Abilene Rgnl",-6,"A","America/Chicago"
"87","ABL","Ambler Airport",-9,"A","America/Anchorage"
"88","ABQ","Albuquerque International Sunport",-7,"A","America/Denver"
"89","ABR","Aberdeen Regional Airport",-6,"A","America/Chicago"
"90","ABY","Southwest Georgia Regional Airport",-5,"A","America/New_York"
"91","ACJ","Jimmy Carter Regional",-5,"A","America/New_York"
"92","ACK","Nantucket Mem",-5,"A","America/New_York"
"93","ACT","Waco Rgnl",-6,"A","America/Chicago"
"94","ACV","Arcata",-8,"A","America/Los_Angeles"
"95","ACY","Atlantic City Intl",-5,"A","America/New_York"
"96","ADK","Adak Airport",-9,"A","America/Anchorage"
"97","ADM","Ardmore Muni",-6,"A","America/Chicago"
"98","ADQ","Kodiak",-9,"A","America/Anchorage"
"99","ADS","Addison",-6,"A","America/Chicago"
"100","ADW","Andrews Afb",-5,"A","America/New_York"
"101","AET","Allakaket Airport",-9,"A","America/Anchorage"
"102","AEX","Alexandria Intl",-6,"A","America/Chicago"
"103","AFE","Kake Airport",-9,"A","America/Anchorage"
"104","AFW","Fort Worth Alliance Airport",-6,"A","America/Chicago"
"105","AGC","Allegheny County Airport",-5,"A","America/New_York"
"106","AGN","Angoon Seaplane Base",-9,"A","America/Anchorage"
"107","AGS","Augusta Rgnl At Bush Fld",-5,"A","America/New_York"
"108","AHN","Athens Ben Epps Airport",-5,"A","America/New_York"
"109","AIA","Alliance Municipal Airport",-7,"A","America/Denver"
"110","AIK","Municipal Airport",-5,"A","America/New_York"
"111","AIN","Wainwright Airport",-9,"A","America/Anchorage"
"112","AIZ","Lee C Fine Memorial Airport",-6,"A","America/Chicago"
"113","AKB","Atka Airport",-9,"A","America/Anchorage"
"114","AKC","Akron Fulton Intl",-5,"A","America/New_York"
"115","AKI","Akiak Airport",-9,"A","America/Anchorage"
"116","AKK","Akhiok Airport",-9,"A","America/Anchorage"
"117","AKN","King Salmon",-9,"A","America/Anchorage"
"118","AKP","Anaktuvuk Pass Airport",-9,"A","America/Anchorage"
"119","ALB","Albany Intl",-5,"A","America/New_York"
"120","ALI","Alice Intl",-6,"A","America/Chicago"
"121","ALM","Alamogordo White Sands Regional Airport",-7,"A","America/Denver"
"122","ALO","Waterloo Regional Airport",-6,"A","America/Chicago"
"123","ALS","San Luis Valley Regional Airport",-7,"A","America/Denver"
"124","ALW","Walla Walla Regional Airport",-8,"A","America/Los_Angeles"
"125","ALX","Alexandria",-5,"A","America/New_York"
"126","ALZ","Alitak Seaplane Base",-9,"A","America/Anchorage"
"127","AMA","Rick Husband Amarillo Intl",-6,"A","America/Chicago"
"128","ANB","Anniston Metro",-6,"A","America/Chicago"
"129","ANC","Ted Stevens Anchorage Intl",-9,"A","America/Anchorage"
"130","AND","Anderson Rgnl",-5,"A","America/New_York"
"131","ANI","Aniak Airport",-9,"A","America/Anchorage"
"132","ANN","Annette Island",-9,"A","America/Anchorage"
"133","ANP","Lee Airport",-5,"A","America/New_York"
"134","ANQ","Tri-State Steuben County Airport",-5,"A","America/New_York"
"135","ANV","Anvik Airport",-9,"A","America/Anchorage"
"136","AOH","Lima Allen County Airport",-5,"A","America/New_York"
"137","AOO","Altoona Blair Co",-5,"A","America/New_York"
"138","AOS","Amook Bay Seaplane Base",-9,"A","America/Anchorage"
"139","APA","Centennial",-7,"A","America/Denver"
"140","APC","Napa County Airport",-8,"A","America/Los_Angeles"
"141","APF","Naples Muni",-5,"A","America/New_York"
"142","APG","Phillips Aaf",-5,"A","America/New_York"
"143","APN","Alpena County Regional Airport",-5,"A","America/New_York"
"144","AQC","Klawock Seaplane Base",-9,"A","America/Anchorage"
"145","ARA","Acadiana Rgnl",-6,"A","America/Chicago"
"146","ARB","Ann Arbor Municipal Airport",-5,"A","America/New_York"
"147","ARC","Arctic Village Airport",-9,"A","America/Anchorage"
"148","ART","Watertown Intl",-5,"A","America/New_York"
"149","ARV","Lakeland",-6,"A","America/Chicago"
"150","ASE","Aspen Pitkin County Sardy Field",-7,"A","America/Denver"
"151","ASH","Boire Field Airport",-5,"A","America/New_York"
"152","AST","Astoria Regional Airport",-8,"A","America/Los_Angeles"
"153","ATK","Atqasuk Edward Burnell Sr Memorial Airport",-9,"A","America/Anchorage"
"154","ATL","Hartsfield Jackson Atlanta Intl",-5,"A","America/New_York"
"155","ATT","Camp Mabry Austin City",-6,"A","America/Chicago"
"156","ATW","Appleton",-6,"A","America/Chicago"
"157","ATY","Watertown Regional Airport",-6,"A","America/Chicago"
"158","AUG","Augusta State",-5,"A","America/New_York"
"159","AUK","Alakanuk Airport",-9,"A","America/Anchorage"
"160","AUO","Auburn University Regional",-6,"A","America/Chicago"
"161","AUS","Austin Bergstrom Intl",-6,"A","America/Chicago"
"162","AUW","Wausau Downtown Airport",-6,"U","America/Chicago"
"163","AVL","Asheville Regional Airport",-5,"A","America/New_York"
"164","AVO","Executive",-5,"A","America/New_York"
"165","AVP","Wilkes Barre Scranton Intl",-5,"A","America/New_York"
"166","AVW","Marana Regional",-7,"U","America/Phoenix"
"167","AVX","Avalon",-8,"A","America/Los_Angeles"
"168","AZA","Phoenix-Mesa Gateway",-7,"N","America/Phoenix"
"169","AZO","Kalamazoo",-5,"A","America/New_York"
"170","BAB","Beale Afb",-8,"A","America/Los_Angeles"
"171","BAD","Barksdale Afb",-6,"A","America/Chicago"
"172","BAF","Barnes Municipal",-5,"A","America/New_York"
"173","BBX","Wings Field",-5,"A","America/New_York"
"174","BCE","Bryce Canyon",-7,"A","America/Denver"
"175","BCT","Boca Raton",-5,"A","America/New_York"
"176","BDE","Baudette Intl",-6,"A","America/Chicago"
"177","BDL","Bradley Intl",-5,"A","America/New_York"
"178","BDR","Igor I Sikorsky Mem",-5,"A","America/New_York"
"179","BEC","Beech Factory Airport",-6,"A","America/Chicago"
"180","BED","Laurence G Hanscom Fld",-5,"A","America/New_York"
"181","BEH","Southwest Michigan Regional Airport",-5,"A","America/New_York"
"182","BET","Bethel",-9,"A","America/Anchorage"
"183","BFD","Bradford Regional Airport",-5,"A","America/New_York"
"184","BFF","Western Nebraska Regional Airport",-7,"A","America/Denver"
"185","BFI","Boeing Fld King Co Intl",-8,"A","America/Los_Angeles"
"186","BFL","Meadows Fld",-8,"A","America/Los_Angeles"
"187","BFM","Mobile Downtown",-6,"A","America/Chicago"
"188","BFP","Beaver Falls",-5,"A","America/New_York"
"189","BFT","Beaufort",-5,"A","America/New_York"
"190","BGE","Decatur County Industrial Air Park",-5,"A","America/New_York"
"191","BGM","Greater Binghamton Edwin A Link Fld",-5,"A","America/New_York"
"192","BGR","Bangor Intl",-5,"A","America/New_York"
"193","BHB","Hancock County - Bar Harbor",-5,"A","America/New_York"
"194","BHM","Birmingham Intl",-6,"A","America/Chicago"
"195","BID","Block Island State Airport",-5,"A","America/New_York"
"196","BIF","Biggs Aaf",-7,"A","America/Denver"
"197","BIG","Allen Aaf",-9,"A","America/Anchorage"
"198","BIL","Billings Logan International Airport",-7,"A","America/Denver"
"199","BIS","Bismarck Municipal Airport",-6,"A","America/Chicago"
"200","BIV","Tulip City Airport",-5,"A","America/New_York"
"201","BIX","Keesler Afb",-6,"A","America/Chicago"
"202","BJC","Rocky Mountain Metropolitan Airport",-7,"A","America/Denver"
"203","BJI","Bemidji Regional Airport",-6,"A","America/Chicago"
"204","BKC","Buckland Airport",-9,"A","America/Anchorage"
"205","BKD","Stephens Co",-6,"A","America/Chicago"
"206","BKF","Buckley Afb",-7,"A","America/Denver"
"207","BKG","Branson LLC",-6,"A","America/Chicago"
"208","BKH","Barking Sands Pmrf",-10,"A","Pacific/Honolulu"
"209","BKL","Burke Lakefront Airport",-5,"A","America/New_York"
"210","BKW","Raleigh County Memorial Airport",-5,"A","America/New_York"
"211","BKX","Brookings Regional Airport",-6,"A","America/Chicago"
"212","BLD","Boulder City Municipal Airport",-7,"U","America/Phoenix"
"213","BLF","Mercer County Airport",-5,"A","America/New_York"
"214","BLH","Blythe Airport",-8,"A","America/Los_Angeles"
"215","BLI","Bellingham Intl",-8,"A","America/Los_Angeles"
"216","BLV","Scott Afb Midamerica",-6,"A","America/Chicago"
"217","BMC","Brigham City",-7,"A","America/Denver"
"218","BMG","Monroe County Airport",-5,"A","America/New_York"
"219","BMI","Central Illinois Rgnl",-6,"A","America/Chicago"
"220","BMT","Beaumont Municipal",-6,"A","America/Chicago"
"221","BMX","Big Mountain Afs",-9,"A","America/Anchorage"
"222","BNA","Nashville Intl",-6,"A","America/Chicago"
"223","BOI","Boise Air Terminal",-7,"A","America/Denver"
"224","BOS","General Edward Lawrence Logan Intl",-5,"A","America/New_York"
"225","BOW","Bartow Municipal Airport",-5,"U","America/New_York"
"226","BPT","Southeast Texas Rgnl",-6,"A","America/Chicago"
"227","BQK","Brunswick Golden Isles Airport",-5,"A","America/New_York"
"228","BRD","Brainerd Lakes Rgnl",-6,"U","America/Chicago"
"229","BRL","Southeast Iowa Regional Airport",-6,"A","America/Chicago"
"230","BRO","Brownsville South Padre Island Intl",-6,"A","America/Chicago"
"231","BRW","Wiley Post Will Rogers Mem",-9,"A","America/Anchorage"
"232","BSF","Bradshaw Aaf",-10,"A","Pacific/Honolulu"
"233","BTI","Barter Island Lrrs",-9,"A","America/Anchorage"
"234","BTM","Bert Mooney Airport",-7,"A","America/Denver"
"235","BTR","Baton Rouge Metro Ryan Fld",-6,"A","America/Chicago"
"236","BTT","Bettles",-9,"A","America/Anchorage"
"237","BTV","Burlington Intl",-5,"A","America/New_York"
"238","BUF","Buffalo Niagara Intl",-5,"A","America/New_York"
"239","BUR","Bob Hope",-8,"A","America/Los_Angeles"
"240","BUU","Municipal Airport",-6,"A","America/Chicago"
"241","BUY","Burlington-Alamance Regional Airport",-5,"A","America/New_York"
"242","BVY","Beverly Municipal Airport",-5,"A","America/New_York"
"243","BWD","KBWD",-6,"A","America/Chicago"
"244","BWG","Bowling Green-Warren County Regional Airport",-6,"A","America/Chicago"
"245","BWI","Baltimore Washington Intl",-5,"A","America/New_York"
"246","BXK","Buckeye Municipal Airport",-7,"U","America/Phoenix"
"247","BXS","Borrego Valley Airport",-8,"A","America/Los_Angeles"
"248","BYH","Arkansas Intl",-6,"A","America/Chicago"
"249","BYS","Bicycle Lake Aaf",-8,"A","America/Los_Angeles"
"250","BYW","Blakely Island Airport",-8,"A","America/Los_Angeles"
"251","BZN","Gallatin Field",-7,"A","America/Denver"
"252","C02","Grand Geneva Resort Airport",-6,"U","America/Chicago"
"253","C16","Frasca Field",-6,"A","America/Chicago"
"254","C47","Portage Municipal Airport",-6,"U","America/Chicago"
"255","C65","Plymouth Municipal Airport",-5,"A","America/New_York"
"256","C89","Sylvania Airport",-6,"A","America/Chicago"
"257","C91","Dowagiac Municipal Airport",-5,"U","America/New_York"
"258","CAE","Columbia Metropolitan",-5,"A","America/New_York"
"259","CAK","Akron Canton Regional Airport",-5,"A","America/New_York"
"260","CAR","Caribou Muni",-5,"A","America/New_York"
"261","CBE","Greater Cumberland Rgnl.",-5,"A","America/New_York"
"262","CBM","Columbus Afb",-6,"A","America/Chicago"
"263","CCO","Coweta County Airport",-5,"A","America/New_York"
"264","CCR","Buchanan Field Airport",-8,"A","America/Los_Angeles"
"265","CDB","Cold Bay",-9,"A","America/Anchorage"
"266","CDC","Cedar City Rgnl",-7,"A","America/Denver"
"267","CDI","Cambridge Municipal Airport",-5,"U","America/New_York"
"268","CDK","CedarKey",-5,"A","America/New_York"
"269","CDN","Woodward Field",-5,"A","America/New_York"
"270","CDR","Chadron Municipal Airport",-7,"A","America/Denver"
"271","CDS","Childress Muni",-6,"A","America/Chicago"
"272","CDV","Merle K Mudhole Smith",-9,"A","America/Anchorage"
"273","CDW","Caldwell Essex County Airport",-5,"A","America/New_York"
"274","CEC","Del Norte County Airport",-8,"A","America/Los_Angeles"
"275","CEF","Westover Arb Metropolitan",-5,"A","America/New_York"
"276","CEM","Central Airport",-9,"A","America/Anchorage"
"277","CEU","Clemson",-5,"A","America/New_York"
"278","CEW","Bob Sikes",-6,"A","America/Chicago"
"279","CEZ","Cortez Muni",-7,"A","America/Denver"
"280","CFD","Coulter Fld",-6,"A","America/Chicago"
"281","CGA","Craig Seaplane Base",-9,"A","America/Anchorage"
"282","CGC","Crystal River",-5,"A","America/New_York"
"283","CGF","Cuyahoga County",-5,"A","America/New_York"
"284","CGI","Cape Girardeau Regional Airport",-6,"A","America/Chicago"
"285","CGX","Meigs Field",-6,"A","America/Chicago"
"286","CGZ","Casa Grande Municipal Airport",-7,"U","America/Phoenix"
"287","CHA","Lovell Fld",-5,"A","America/New_York"
"288","CHI","All Airports",-6,"A","America/Chicago"
"289","CHO","Charlottesville-Albemarle",-5,"A","America/New_York"
"290","CHS","Charleston Afb Intl",-5,"A","America/New_York"
"291","CHU","Chuathbaluk Airport",-9,"A","America/Anchorage"
"292","CIC","Chico Muni",-8,"A","America/Los_Angeles"
"293","CID","Cedar Rapids",-6,"A","America/Chicago"
"294","CIK","Chalkyitsik Airport",-9,"A","America/Anchorage"
"295","CIL","Council Airport",-9,"A","America/Anchorage"
"296","CIU","Chippewa County International Airport",-5,"A","America/New_York"
"297","CKB","Harrison Marion Regional Airport",-5,"A","America/New_York"
"298","CKD","Crooked Creek Airport",-9,"A","America/Anchorage"
"299","CKF","Crisp County Cordele Airport",-5,"A","America/New_York"
"300","CKV","Clarksville-Montgomery County Regional Airport",-6,"A","America/Chicago"
"301","CLC","Clear Lake Metroport",-6,"A","America/Chicago"
"302","CLD","McClellan-Palomar Airport",-8,"A","America/Los_Angeles"
"303","CLE","Cleveland Hopkins Intl",-5,"A","America/New_York"
"304","CLL","Easterwood Fld",-6,"A","America/Chicago"
"305","CLM","William R Fairchild International Airport",-8,"A","America/Los_Angeles"
"306","CLS","Chehalis-Centralia",-8,"A","America/Los_Angeles"
"307","CLT","Charlotte Douglas Intl",-5,"A","America/New_York"
"308","CLW","Clearwater Air Park",-5,"A","America/New_York"
"309","CMH","Port Columbus Intl",-5,"A","America/New_York"
"310","CMI","Champaign",-6,"A","America/Chicago"
"311","CMX","Houghton County Memorial Airport",-5,"A","America/New_York"
"312","CNM","Cavern City Air Terminal",-7,"A","America/Denver"
"313","CNW","Tstc Waco",-6,"A","America/Chicago"
"314","CNY","Canyonlands Field",-7,"A","America/Denver"
"315","COD","Yellowstone Rgnl",-7,"A","America/Denver"
"316","COE","Pappy Boyington",-8,"A","America/Los_Angeles"
"317","COF","Patrick Afb",-5,"A","America/New_York"
"318","COI","Merritt Island Airport",-5,"A","America/New_York"
"319","CON","Concord Municipal",-5,"A","America/New_York"
"320","COS","City Of Colorado Springs Muni",-7,"A","America/Denver"
"321","COT","Cotulla Lasalle Co",-6,"A","America/Chicago"
"322","COU","Columbia Rgnl",-6,"A","America/Chicago"
"323","CPR","Natrona Co Intl",-7,"A","America/Denver"
"324","CPS","St. Louis Downtown Airport",-6,"U","America/Chicago"
"325","CRE","Grand Strand Airport",-5,"A","America/New_York"
"326","CRP","Corpus Christi Intl",-6,"A","America/Chicago"
"327","CRW","Yeager",-5,"A","America/New_York"
"328","CSG","Columbus Metropolitan Airport",-5,"A","America/New_York"
"329","CTB","Cut Bank Muni",-7,"A","America/Denver"
"330","CTH","Chester County G O Carlson Airport",-5,"A","America/New_York"
"331","CTJ","West Georgia Regional Airport - O V Gray Field",-5,"A","America/New_York"
"332","CTY","Cross City",-5,"A","America/New_York"
"333","CVG","Cincinnati Northern Kentucky Intl",-5,"A","America/New_York"
"334","CVN","Clovis Muni",-7,"A","America/Denver"
"335","CVO","Corvallis Muni",-8,"A","America/Los_Angeles"
"336","CVS","Cannon Afb",-7,"A","America/Denver"
"337","CVX","Charlevoix Municipal Airport",-5,"A","America/New_York"
"338","CWA","Central Wisconsin",-6,"A","America/Chicago"
"339","CWI","Clinton Municipal",-6,"A","America/Chicago"
"340","CWT","Chatsworth Station",-8,"A","America/Los_Angeles"
"341","CXF","Coldfoot Airport",-9,"A","America/Anchorage"
"342","CXL","Calexico Intl",-8,"A","America/Los_Angeles"
"343","CXO","Lone Star Executive",-6,"A","America/Chicago"
"344","CXY","Capital City Airport",-5,"A","America/New_York"
"345","CYF","Chefornak Airport",-9,"A","America/Anchorage"
"346","CYM","Chatham Seaplane Base",-9,"A","America/Anchorage"
"347","CYS","Cheyenne Rgnl Jerry Olson Fld",-7,"A","America/Denver"
"348","CYT","Yakataga Airport",-9,"A","America/Anchorage"
"349","CZF","Cape Romanzof Lrrs",-9,"A","America/Anchorage"
"350","CZG","Tri-Cities",-5,"A","America/New_York"
"351","CZN","Chisana Airport",-9,"A","America/Anchorage"
"352","DAB","Daytona Beach Intl",-5,"A","America/New_York"
"353","DAL","Dallas Love Fld",-6,"A","America/Chicago"
"354","DAW","Skyhaven Airport",-5,"A","America/New_York"
"355","DAY","James M Cox Dayton Intl",-5,"A","America/New_York"
"356","DBN","W H Barron Field",-5,"A","America/New_York"
"357","DBQ","Dubuque Rgnl",-6,"A","America/Chicago"
"358","DCA","Ronald Reagan Washington Natl",-5,"A","America/New_York"
"359","DDC","Dodge City Regional Airport",-6,"A","America/Chicago"
"360","DEC","Decatur",-6,"A","America/Chicago"
"361","DEN","Denver Intl",-7,"A","America/Denver"
"362","DET","Coleman A Young Muni",-5,"A","America/New_York"
"363","DFW","Dallas Fort Worth Intl",-6,"A","America/Chicago"
"364","DGL","Douglas Municipal Airport",-7,"N","America/Phoenix"
"365","DHB","Deer Harbor Seaplane",-8,"A","America/Los_Angeles"
"366","DHN","Dothan Rgnl",-6,"A","America/Chicago"
"367","DHT","Dalhart Muni",-6,"A","America/Chicago"
"368","DIK","Dickinson Theodore Roosevelt Regional Airport",-7,"A","America/Denver"
"369","DKB","De Kalb Taylor Municipal Airport",-6,"U","America/Chicago"
"370","DKK","Chautauqua County-Dunkirk Airport",-5,"A","America/New_York"
"371","DKX","Knoxville Downtown Island Airport",-5,"A","America/New_York"
"372","DLF","Laughlin Afb",-6,"A","America/Chicago"
"373","DLG","Dillingham",-9,"A","America/Anchorage"
"374","DLH","Duluth Intl",-6,"A","America/Chicago"
"375","DLL","Baraboo Wisconsin Dells Airport",-6,"A","America/Chicago"
"376","DMA","Davis Monthan Afb",-7,"A","America/Phoenix"
"377","DNL","Daniel Field Airport",-5,"A","America/New_York"
"378","DNN","Dalton Municipal Airport",-5,"A","America/New_York"
"379","DNV","Vermilion Regional",-6,"A","America/Chicago"
"380","DOV","Dover Afb",-5,"A","America/New_York"
"381","DPA","Dupage",-6,"A","America/Chicago"
"382","DQH","Douglas Municipal Airport",-5,"A","America/New_York"
"383","DRG","Deering Airport",-9,"A","America/Anchorage"
"384","DRI","Beauregard Rgnl",-6,"A","America/Chicago"
"385","DRM","Drummond Island Airport",-5,"A","America/New_York"
"386","DRO","Durango La Plata Co",-7,"A","America/Denver"
"387","DRT","Del Rio Intl",-6,"A","America/Chicago"
"388","DSM","Des Moines Intl",-6,"A","America/Chicago"
"389","DTA","Delta Municipal Airport",-7,"A","America/Denver"
"390","DTS","Destin",-6,"A","America/Chicago"
"391","DTW","Detroit Metro Wayne Co",-5,"A","America/New_York"
"392","DUC","Halliburton Field Airport",-6,"A","America/Chicago"
"393","DUG","Bisbee Douglas Intl",-7,"A","America/Phoenix"
"394","DUJ","DuBois Regional Airport",-5,"A","America/New_York"
"395","DUT","Unalaska",-9,"A","America/Anchorage"
"396","DVL","Devils Lake Regional Airport",-6,"A","America/Chicago"
"397","DVT","Deer Valley Municipal Airport",8,"A","Asia/Chongqing"
"398","DWA","Yolo County Airport",-8,"A","America/Los_Angeles"
"399","DWH","David Wayne Hooks Field",-6,"A","America/Chicago"
"400","DWS","Orlando",-5,"A","America/New_York"
"401","DXR","Danbury Municipal Airport",-5,"A","America/New_York"
"402","DYS","Dyess Afb",-6,"A","America/Chicago"
"403","E25","Wickenburg Municipal Airport",-7,"A","America/Phoenix"
"404","E51","Bagdad Airport",-7,"A","America/Phoenix"
"405","E55","Ocean Ridge Airport",-8,"A","America/Los_Angeles"
"406","E63","Gila Bend Municipal Airport",-7,"U","America/Phoenix"
"407","E91","Chinle Municipal Airport",-7,"N","America/Denver"
"408","EAA","Eagle Airport",-9,"A","America/Anchorage"
"409","EAR","Kearney Municipal Airport",-6,"A","America/Chicago"
"410","EAT","Pangborn Field",-8,"A","America/Los_Angeles"
"411","EAU","Chippewa Valley Regional Airport",-6,"A","America/Chicago"
"412","ECA","Iosco County",-5,"A","America/New_York"
"413","ECG","Elizabeth City Cgas Rgnl",-5,"A","America/New_York"
"414","ECP","Panama City-NW Florida Bea.",-6,"A","America/Chicago"
"415","EDF","Elmendorf Afb",-9,"A","America/Anchorage"
"416","EDW","Edwards Afb",-8,"A","America/Los_Angeles"
"417","EEK","Eek Airport",-9,"A","America/Anchorage"
"418","EEN","Dillant Hopkins Airport",-5,"A",NA
"419","EET","Shelby County Airport",-6,"A","America/Chicago"
"420","EFD","Ellington Fld",-6,"A","America/Chicago"
"421","EGA","Eagle County Airport",-7,"U","America/Denver"
"422","EGE","Eagle Co Rgnl",-7,"A","America/Denver"
"423","EGT","Wellington Municipal",-6,"A","America/Chicago"
"424","EGV","Eagle River",-6,"A","America/Chicago"
"425","EGX","Egegik Airport",-9,"A","America/Anchorage"
"426","EHM","Cape Newenham Lrrs",-9,"A","America/Anchorage"
"427","EIL","Eielson Afb",-9,"A","America/Anchorage"
"428","EKI","Elkhart Municipal",-5,"A","America/New_York"
"429","EKN","Elkins Randolph Co Jennings Randolph",-5,"A","America/New_York"
"430","EKO","Elko Regional Airport",-8,"A","America/Los_Angeles"
"431","EKY","Bessemer",-6,"A","America/Chicago"
"432","ELD","South Arkansas Rgnl At Goodwin Fld",-6,"A","America/Chicago"
"433","ELI","Elim Airport",-9,"A","America/Anchorage"
"434","ELM","Elmira Corning Rgnl",-5,"A","America/New_York"
"435","ELP","El Paso Intl",-7,"A","America/Denver"
"436","ELV","Elfin Cove Seaplane Base",-9,"A","America/Anchorage"
"437","ELY","Ely Airport",-8,"A","America/Los_Angeles"
"438","EMK","Emmonak Airport",-9,"A","America/Anchorage"
"439","EMP","Emporia Municipal Airport",-6,"A","America/Chicago"
"440","ENA","Kenai Muni",-9,"A","America/Anchorage"
"441","END","Vance Afb",-6,"A","America/Chicago"
"442","ENV","Wendover",-7,"A","America/Denver"
"443","ENW","Kenosha Regional Airport",-6,"A","America/Chicago"
"444","EOK","Keokuk Municipal Airport",-6,"A","America/Chicago"
"445","EPM","Eastport Municipal Airport",-5,"A","America/New_York"
